asset_id,source,original_author,license,source_url,download_date,modifications,production_file,runtime_file,status
character.sprout-prototype,Repository-authored procedural Blender geometry after Sprout and Lumi concept comparison,Codex with user direction,Original generated prototype; historical concept provenance retained; not production-approved,,2026-09-05,New mesh palette rig and three proof actions; no external production mesh texture or animation,assets/source/blender/character.sprout-prototype/sprout-prototype.blend,assets/runtime/character.sprout-prototype/r001/sprout-prototype.glb,pipeline_prototype
concept.history.sky_ring,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/concept-01.png,,reference_only
concept.history.sprout,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/concept-02.png,,reference_only
concept.history.lumi,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/branch-lumi-character.png,,reference_only
concept.history.sky_ring_expanded,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/branch-sky-ring.png,,reference_only
concept.history.king_of_the_hill,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/branch-king-of-the-hill.png,,reference_only
concept.history.crown_chase,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/branch-crown-chase.png,,reference_only
concept.history.cloud_king,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/branch-cloud-king.png,,reference_only
concept.history.boss_battle,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/branch-boss-battle.png,,reference_only
concept.history.social_lobby,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/branch-social-lobby.png,,reference_only
concept.history.mobile_ui,Historical ChatGPT generated concept,ChatGPT image generation,Generated reference - review before production,https://chatgpt.com/c/6a9c044c-94d4-83ea-ab27-4033c4278de0,2026-09-05,None,assets/source/concepts/history/branch-mobile-ui.png,,reference_only
